"Format","AIM CSV File"
"Venue","COTA"
"Vehicle","S1000RR"
"User","Ky Ma"
"Data Source","AIM Data Logger"
"Comment","SC2s"
"Date","10/29/17"
"Time","17:23:49"
"Sample Rate","10"
"Duration","649.398"
"Segment","Session"
"Beacon Markers","164.104, 330.080, 487.794, 649.398"
"Segment Times","2:44.104","2:45.976","2:37.714","2:41.604"

"Time","Distance","Internal Batte","Vertical_acc","Longitudinal_a","Lateral_acc","External Batte","RPM","TPS","BANKING","ENG_TEMP","INJ_FUEL_ml","OIL_LEV_SW","GEAR","ASC_ON","MIL","SPD_REAR","SPD_FRONT","LIFT_OFF","ASC_TRQ_REDUCT","ASC_%TYREGRIP","WHE_MOM_ACTUAL","WHE_MOM_REDUCT","TPS_HAND","LAUNCH_CTRL","TC_LEV","MOM_TOT_REDUCT","ABS_ON","BRAKE_P_FRONT","BRAKE_P_REAR","YAW_RATE","LAT_ACC","ROLL_RATE","VERT_ACC","ACCZ","FRONT_DAMPmm","REAR_DAMPmm","R_REBOUND_SET","R_BUMP_SET","F_REBOUND_SET","F_BUMP_SET","INTAKE_AIR_T","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","TrailBrakingG","BrakingG","AccelG","RollRate","TotalWeight","CornerG","Acceleration","TotalG","LeanAngleGPS","LeanAngleDataMC","LeanAngleECU","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","Internal Batte","Vertical_acc","Longitudinal_a","Lateral_acc","External Batte","RPM","TPS","BANKING","ENG_TEMP","INJ_FUEL_ml","OIL_LEV_SW","GEAR","ASC_ON","MIL","SPD_REAR","SPD_FRONT","LIFT_OFF","ASC_TRQ_REDUCT","ASC_%TYREGRIP","WHE_MOM_ACTUAL","WHE_MOM_REDUCT","TPS_HAND","LAUNCH_CTRL","TC_LEV","MOM_TOT_REDUCT","ABS_ON","BRAKE_P_FRONT","BRAKE_P_REAR","YAW_RATE","LAT_ACC","ROLL_RATE","VERT_ACC","ACCZ","FRONT_DAMPmm","REAR_DAMPmm","R_REBOUND_SET","R_BUMP_SET","F_REBOUND_SET","F_BUMP_SET","INTAKE_AIR_T","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","TrailBrakingG","BrakingG","AccelG","RollRate","TotalWeight","CornerG","Acceleration","TotalG","LeanAngleGPS","LeanAngleDataMC","LeanAngleECU","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","V","g","g","g","V","rpm","%","deg","°C","#","#","#","#","#","mph","mph","#","%","%","Nm","%","%","#","#","%","#","bar","bar","deg/s","g","deg/s","g","g","#","#","#","#","#","#","°C","mph","#","g","g","deg","deg","deg/s","m","m","g","g","g","deg/s","kg","g","g","g","deg","deg","deg","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63",

0.000,0.000,4.169000,1.288091,-0.123282,0.003711,14.180549,13313.349609,51.396000,-8.740000,83.000000,48.664398,0.000000,4.000000,0.000000,0.000000,149.359619,146.006088,0.000000,99.000000,55.293003,53.157001,98.599998,61.689999,0.000000,-3.000000,98.599998,0.000000,0.000000,0.000000,-0.250000,-0.025970,-2.023000,1.206400,0.024860,14.370000,19.000000,-3.000000,3.000000,-2.000000,-2.000000,24.700001,153.004578,10.000000,-0.087332,0.077900,1.092607,128.002151,-0.720646,151.000000,3.020000,0.000000,0.000000,0.077900,6.205564,273.039886,0.087332,0.121746,0.087332,-1.663606,-4.990935,1.577491,30.131668918099,-97.639614902155,151.67
0.100,0.022,4.169000,1.141163,-0.218517,0.002015,14.180948,12944.599609,27.903999,-9.630000,83.000000,49.517998,0.000000,4.000000,0.000000,0.000000,147.728531,146.061386,0.000000,99.000000,53.860001,29.637001,98.599998,33.705002,0.000000,-3.000000,98.599998,0.000000,0.000000,0.000000,2.715000,-0.051840,0.188000,1.177190,-0.228860,18.330000,19.370001,-3.000000,3.000000,-2.000000,-2.000000,24.700001,153.020737,10.000000,-0.098262,-0.006762,1.206339,127.975006,-0.812319,151.000000,3.023700,0.000000,0.025232,0.018470,6.209629,273.312469,0.098262,0.108590,0.105804,-1.673375,-5.611898,1.940414,30.131630780259,-97.639558937845,151.79
0.200,0.045,4.169000,0.947527,-0.409658,0.006668,14.181349,12568.500000,8.500000,-9.000000,83.000000,49.770000,0.000000,4.000000,0.000000,0.000000,145.601578,145.700363,0.000000,99.000000,51.009003,4.907000,98.599998,0.000000,0.000000,-3.000000,98.599998,0.000000,0.000000,0.000000,1.993000,0.008020,0.590000,1.203310,-0.562930,29.549999,20.000000,-3.000000,3.000000,-2.000000,-2.000000,24.700001,152.912613,10.370000,-0.104591,-0.108281,1.352959,127.940628,-0.870073,151.000000,3.033700,0.000000,0.108281,0.000000,3.590081,273.483795,0.104591,0.154438,0.154438,-1.641607,-5.970906,2.229481,30.131592772538,-97.639503064224,151.92
0.300,0.067,4.169000,0.800068,-0.573618,0.008480,14.181748,12874.299805,8.648000,-8.630000,83.000000,49.969799,0.000000,4.000000,0.000000,0.000000,144.388657,144.738480,0.000000,99.000000,46.561001,5.637000,98.599998,0.000000,0.000000,-3.000000,98.599998,0.000000,0.000000,0.000000,1.559000,-0.001110,-0.079000,1.329780,-0.631210,41.220001,20.370001,-3.000000,3.000000,-2.000000,-2.000000,24.700001,152.588257,11.000000,-0.102730,-0.218512,1.520607,127.902008,-0.853114,151.369995,3.040000,0.000000,0.218512,0.000000,2.421084,273.433655,0.102730,0.242858,0.242858,-1.574522,-5.865326,2.674824,30.131554945697,-97.639447382013,152.08
0.400,0.090,4.169000,0.737422,-0.566797,0.007098,14.182149,12758.750000,8.752001,-8.000000,83.000000,50.409897,0.000000,4.000000,0.000000,0.000000,143.217361,143.574036,0.000000,99.000000,42.009003,5.700000,98.599998,-0.185000,0.000000,-3.000000,98.599998,0.000000,0.000000,0.000000,1.852000,-0.036770,0.002000,1.037670,-0.638680,41.299999,19.520000,-3.000000,3.000000,-2.000000,-2.000000,24.700001,151.937073,11.000000,-0.090436,-0.331012,1.683155,127.860413,-0.764878,152.000000,3.043700,0.000000,0.331012,0.000000,6.982087,273.121490,0.090436,0.343874,0.343874,-1.483905,-5.167118,2.681565,30.131517338631,-97.639391979129,152.28
0.500,0.112,4.169000,0.742932,-0.483980,0.005853,14.182549,12672.599609,8.500000,-8.000000,83.000000,50.579998,0.000000,4.000000,0.000000,0.000000,142.126236,142.354279,0.000000,99.000000,38.005001,5.663000,98.599998,-0.315000,0.000000,-3.000000,98.599998,0.000000,0.000000,0.000000,1.748000,0.014480,-1.957000,0.805330,-0.577890,36.110001,17.370001,-3.000000,3.000000,-2.000000,-2.000000,24.700001,151.060318,11.000000,-0.069194,-0.437426,1.847192,127.826027,-0.579011,152.000000,3.050000,0.000000,0.437426,0.000000,12.094491,272.669800,0.069194,0.443268,0.443268,-1.375441,-3.957668,2.627930,30.131479978645,-97.639336932811,152.50
0.600,0.134,4.169000,0.782683,-0.481744,0.014038,14.182953,12633.400391,8.500000,-7.620000,83.000000,50.800400,0.000000,4.000000,0.000000,0.000000,141.522263,141.279938,0.000000,99.000000,34.469997,5.600000,98.599998,0.000000,0.000000,-3.000000,98.599998,0.000000,0.000000,0.000000,1.962000,0.023080,0.158000,1.240840,-0.511860,39.900002,19.520000,-3.000000,3.000000,-2.000000,-2.000000,24.700001,149.961731,11.000000,-0.044332,-0.530902,2.013579,127.786949,-0.347536,152.000000,3.053800,0.000000,0.530902,0.000000,14.054469,272.285889,0.044332,0.532956,0.532956,-1.252101,-2.538043,2.660411,30.131442628674,-97.639282002758,152.75
0.700,0.156,4.169000,0.789591,-0.521014,0.032135,14.183352,12533.000000,8.500000,-7.000000,83.000000,51.281601,0.000000,4.000000,0.000000,0.000000,140.608841,140.244736,0.000000,99.000000,30.969999,5.600000,98.599998,0.000000,0.000000,-3.000000,98.599998,0.000000,0.000000,0.000000,1.900000,0.027680,-1.426000,1.285900,-0.536980,39.200001,21.240000,-3.000000,3.000000,-2.000000,-2.000000,24.700001,148.624542,11.000000,-0.021567,-0.605125,2.194176,127.745476,-0.144479,152.380005,3.060000,0.000000,0.605125,0.000000,13.026558,272.076569,0.021567,0.605606,0.605606,-1.120116,-1.235387,2.402340,30.131405963737,-97.639228184265,153.02
0.800,0.177,4.169000,0.743670,-0.514168,0.037129,14.183753,12383.000000,8.500000,-7.000000,83.000000,51.480000,0.000000,4.000000,0.000000,0.000000,139.259232,138.916229,0.000000,99.000000,27.166000,5.600000,98.599998,0.000000,0.000000,-3.000000,98.599998,0.000000,0.000000,0.000000,2.090000,0.014440,-2.834000,1.096900,-0.584800,34.900002,20.379999,-3.000000,3.000000,-2.000000,-2.000000,24.700001,147.180466,11.000000,-0.005532,-0.656863,2.384627,127.711098,-0.018887,153.000000,3.060000,0.000000,0.656863,0.000000,9.184457,272.006714,0.005532,0.656901,0.656901,-0.996121,-0.316941,2.309202,30.131369628339,-97.639174940349,153.30
0.900,0.199,4.169000,0.713909,-0.501131,0.012393,14.184343,12240.599609,8.500000,-7.000000,83.000000,51.708000,0.000000,4.000000,0.000000,0.000000,137.904648,137.667267,0.000000,99.000000,23.170000,5.638000,98.599998,0.000000,0.000000,-3.000000,98.599998,0.000000,0.000000,0.000000,1.640000,-0.014280,-2.134000,1.323200,-0.579600,38.000000,21.000000,-3.000000,3.000000,-2.000000,-2.000000,24.700001,145.719009,11.000000,-0.000484,-0.687136,2.563619,127.672371,0.015032,153.000000,3.060000,0.000000,0.687136,0.000000,3.447019,272.000092,0.000484,0.687136,0.687136,-0.896782,-0.027743,2.233041,30.131333634662,-97.639122272435,153.60
1.000,0.220,4.169000,0.750449,-0.539516,-0.018633,14.185243,12146.700195,8.348001,-7.000000,83.000000,52.186398,0.000000,4.000000,0.000000,0.000000,136.353699,136.563721,0.000000,99.000000,19.670000,5.700000,98.599998,0.000000,0.000000,-3.000000,98.599998,0.000000,0.000000,0.000000,0.476000,-0.056600,-1.206000,1.174700,-0.564040,38.380001,21.000000,-3.000000,3.000000,-2.000000,-2.000000,24.700001,144.103439,11.000000,-0.003939,-0.705592,2.728975,127.630882,-0.025304,153.380005,3.060000,0.000000,0.705592,0.000000,1.979122,272.003693,0.003939,0.705611,0.705611,-0.821602,-0.225656,2.103123,30.131297986984,-97.639070165100,153.92
1.100,0.241,4.169000,0.791359,-0.577311,-0.024198,14.186143,12071.799805,8.100000,-7.000000,83.000000,52.360001,0.000000,4.000000,0.000000,0.000000,135.181793,135.383118,0.000000,99.000000,16.170000,5.700000,98.599998,0.000000,0.000000,-3.000000,98.599998,0.000000,0.190000,0.000000,0.144000,-0.042780,-0.552000,1.246760,-0.585720,40.139999,21.000000,-3.000000,3.000000,-2.000000,-2.000000,24.700001,142.511490,11.000000,-0.011918,-0.720646,2.890205,127.596504,-0.102768,154.000000,3.060000,0.000000,0.720646,0.000000,4.571356,272.022247,0.011918,0.720759,0.720759,-0.795527,-0.682791,1.962641,30.131262806285,-97.639018744943,154.25
1.200,0.261,4.169000,0.708139,-0.552721,-0.009910,14.187043,11909.000000,7.986001,-7.000000,83.000000,52.561401,0.000000,4.000000,0.000000,0.000000,133.842117,134.131668,0.000000,99.000000,12.974000,5.662000,98.599998,0.000000,0.000000,-3.000000,98.599998,0.000000,1.450000,0.570000,0.008000,-0.013680,-1.066000,1.113480,-0.617180,42.759998,22.139999,-3.000000,3.000000,-2.000000,-2.000000,24.700001,140.863617,11.000000,-0.022689,-0.738211,3.081687,127.562126,-0.203150,154.000000,3.060000,0.000000,0.738211,0.000000,6.168922,272.075195,0.022689,0.738582,0.738582,-0.823902,-1.299683,1.962018,30.131228007369,-97.638967840483,154.58
1.300,0.282,4.169000,0.490834,-0.555771,0.001294,14.187943,11646.299805,7.800000,-7.000000,83.000000,52.889999,0.000000,4.000000,0.000000,0.000000,131.237335,132.693817,0.000000,99.000000,9.210000,5.600000,98.599998,0.000000,0.000000,-3.000000,98.599998,0.000000,3.646000,4.920000,0.886000,-0.050440,-0.664000,0.869300,-0.817040,47.040001,19.059999,-3.000000,3.000000,-2.000000,-2.000000,24.700001,138.542160,11.000000,-0.037130,-0.774564,3.342154,127.519043,-0.343869,154.380005,3.067600,0.000000,0.774564,0.000000,8.265955,272.196899,0.037130,0.775484,0.775484,-0.884944,-2.126279,1.832119,30.131176691716,-97.638892635033,155.08
1.400,0.302,4.169000,0.325373,-0.695256,0.005737,14.188843,11414.299805,7.800000,-6.620000,83.000000,53.079998,0.000000,4.000000,0.000000,0.000000,128.385239,130.786209,0.000000,99.000000,4.774000,5.600000,98.599998,0.000000,0.000000,-3.000000,98.599998,0.000000,4.814000,8.030000,0.662000,-0.051200,0.282000,0.905760,-1.097800,58.840000,10.620000,-3.000000,3.000000,-2.000000,-2.000000,24.700001,136.010696,11.000000,-0.049010,-0.824147,3.588984,127.479156,-0.466252,155.000000,3.080000,0.000000,0.824147,0.000000,6.795353,272.326782,0.049010,0.825603,0.825603,-0.937764,-2.805814,1.198926,30.131121647884,-97.638811698407,155.59
